Date,Price,Open,High,Low,Vol.,Change %
31-Dec-21,436.57,437.23,438.38,436.39,5.19M,-0.27%
30-Dec-21,437.77,439.39,440.36,437.32,3.73M,-0.28%
29-Dec-21,439.01,438.5,439.95,437.54,4.37M,0.12%
28-Dec-21,438.48,439.28,440.19,437.65,4.85M,-0.08%
27-Dec-21,438.81,433.98,438.82,433.95,4.97M,1.43%
23-Dec-21,432.64,430.91,434.1,430.87,5.03M,0.62%
22-Dec-21,429.99,425.45,430.09,425.32,4.98M,1.01%
21-Dec-21,425.69,421.65,425.85,419.52,6.88M,1.40%
20-Dec-21,419.8,419.39,420.22,416.3,9.84M,-1.08%
17-Dec-21,424.39,425.85,428.79,422.67,8.88M,-1.04%
16-Dec-21,428.84,434.56,434.8,427.35,7.15M,-0.90%
15-Dec-21,432.75,426.11,432.98,423.67,6.81M,1.56%
14-Dec-21,426.09,425.8,428.24,423.2,5.63M,-0.68%
13-Dec-21,429.01,432.36,432.66,428.75,5.03M,-0.89%
10-Dec-21,432.85,431.44,432.96,428.95,6.24M,0.95%
9-Dec-21,428.76,430.46,431.32,428.61,5.03M,-0.68%
8-Dec-21,431.7,430.95,432.14,429.24,4.46M,0.28%
7-Dec-21,430.49,426.98,431.1,426.94,4.72M,2.06%
6-Dec-21,421.82,419.41,423.66,417,7.28M,1.19%
3-Dec-21,416.84,422.12,423.19,412.77,10.23M,-0.88%
2-Dec-21,420.56,414.3,422.02,414.06,10.42M,1.53%
1-Dec-21,414.24,424.51,427.21,414.07,8.37M,-1.15%
30-Nov-21,419.06,424.75,426.62,418.67,8.66M,-1.91%
29-Nov-21,427.24,426.73,428.97,424.56,6.30M,1.21%
26-Nov-21,422.14,425.19,426.52,420.9,7.70M,-2.18%
24-Nov-21,431.53,428.56,431.75,427.71,4.57M,0.25%
23-Nov-21,430.47,429.56,431.26,427.05,6.80M,0.13%
22-Nov-21,429.91,432.96,435.39,429.76,4.88M,-0.26%
19-Nov-21,431.05,431.87,432.99,430.38,4.89M,-0.19%
18-Nov-21,431.86,431.44,432.17,428.8,4.74M,0.35%
17-Nov-21,430.37,431.24,431.39,429.84,3.73M,-0.24%
16-Nov-21,431.41,429.62,432.58,429.51,3.27M,0.38%
15-Nov-21,429.77,430.87,430.93,428.69,3.12M,0.05%
12-Nov-21,429.57,427.66,430.17,426.73,3.66M,0.74%
11-Nov-21,426.4,427.7,427.82,426.39,3.63M,0.03%
10-Nov-21,426.26,428.04,429.7,424.81,6.35M,-0.81%
9-Nov-21,429.72,431.61,431.75,428.38,4.70M,-0.35%
8-Nov-21,431.23,431.9,432.31,430.5,3.51M,0.12%
5-Nov-21,430.71,431.55,432.76,429.3,4.94M,0.34%
4-Nov-21,429.25,427.82,429.37,427.54,4.29M,0.47%
3-Nov-21,427.25,424.13,427.57,423.69,3.56M,0.60%
2-Nov-21,424.69,423.16,424.95,423.04,2.99M,0.39%
1-Nov-21,423.05,423.2,423.53,421.29,3.94M,0.21%
29-Oct-21,422.16,419.15,422.52,418.87,4.64M,0.18%
28-Oct-21,421.41,418.79,421.41,418.79,3.64M,0.98%
27-Oct-21,417.33,419.62,420.24,417.29,2.87M,-0.43%
26-Oct-21,419.15,420.42,421.52,418.87,3.09M,0.10%
25-Oct-21,418.75,417.65,419.14,415.96,2.51M,0.52%
22-Oct-21,416.59,416.58,418,414.7,3.65M,-0.10%
21-Oct-21,417.01,415.29,417.24,414.95,2.58M,0.25%
20-Oct-21,415.99,414.78,416.21,414.65,3.21M,0.39%
19-Oct-21,414.38,412.84,414.38,412.17,2.84M,0.78%
18-Oct-21,411.18,408.2,411.46,407.53,3.40M,0.30%
15-Oct-21,409.93,408.92,410.26,408.27,3.50M,0.78%
14-Oct-21,406.76,403.72,406.95,403.23,3.79M,1.68%
13-Oct-21,400.04,399.64,400.88,396.75,6.49M,0.32%
12-Oct-21,398.76,400.48,400.88,397.9,6.20M,-0.20%
11-Oct-21,399.56,402.04,404.74,399.56,3.70M,-0.73%
8-Oct-21,402.49,404.04,404.39,401.94,3.96M,-0.19%
7-Oct-21,403.25,403.06,406.03,402.87,4.41M,0.86%
6-Oct-21,399.81,394.53,400.01,393.07,6.59M,0.44%
5-Oct-21,398.04,395.56,400.35,394.79,5.52M,0.97%
4-Oct-21,394.21,398.03,398.93,392,8.82M,-1.23%
1-Oct-21,399.12,396.23,400.85,392.77,8.48M,1.20%
30-Sep-21,394.4,400.76,401.52,394.39,9.51M,-1.27%
29-Sep-21,399.46,399.97,401.77,398.88,4.72M,-0.17%
28-Sep-21,400.14,405.2,405.81,399.4,8.23M,-2.00%
27-Sep-21,408.3,408.25,409.55,407.63,3.55M,-0.28%
24-Sep-21,409.46,407.17,410.13,406.95,3.42M,0.17%
23-Sep-21,408.78,405.65,410.32,405.47,4.10M,1.21%
22-Sep-21,403.9,402.27,405.83,401.31,6.00M,0.96%
21-Sep-21,400.04,402.79,403.86,399.49,6.42M,-0.10%
20-Sep-21,400.43,401.15,402.6,395.58,10.94M,-1.63%
17-Sep-21,407.08,410.35,410.78,406.77,5.40M,-0.98%
16-Sep-21,411.11,411.36,412.19,408.25,3.35M,-0.17%
15-Sep-21,411.82,408.73,412.24,407.72,3.89M,0.83%
14-Sep-21,408.41,412.1,412.15,407.5,3.66M,-0.52%
13-Sep-21,410.54,412.58,412.7,408.35,4.74M,0.23%
10-Sep-21,409.58,414.69,415.1,409.42,4.04M,-0.77%
9-Sep-21,412.77,414.35,416.04,412.57,3.89M,-0.45%
8-Sep-21,414.63,414.52,415.24,412.7,4.01M,-0.10%
7-Sep-21,415.03,416.2,416.2,414.43,3.54M,-0.37%
3-Sep-21,416.57,415.58,417.06,415.16,3.74M,-0.04%
2-Sep-21,416.73,416.83,417.43,415.5,2.84M,0.30%
1-Sep-21,415.49,416.06,416.58,415.17,3.26M,0.11%
31-Aug-21,415.05,415.66,416.02,414.58,6.06M,-0.17%
30-Aug-21,415.76,414.7,416.56,414.42,2.81M,0.46%
27-Aug-21,413.86,411.09,414.33,411.02,3.88M,0.89%
26-Aug-21,410.22,412.48,412.63,410.2,4.71M,-0.58%
25-Aug-21,412.63,412.09,413.21,411.67,3.26M,0.18%
24-Aug-21,411.87,411.86,412.35,411.35,3.01M,0.16%
23-Aug-21,411.22,409.31,412.08,409.31,3.26M,0.89%
20-Aug-21,407.61,404.68,407.92,404.26,3.26M,0.79%
19-Aug-21,404.41,401.04,405.5,400.94,5.51M,0.14%
18-Aug-21,403.84,406.99,408.72,403.56,4.88M,-1.08%
17-Aug-21,408.23,408.4,409.02,405.31,5.19M,-0.66%
16-Aug-21,410.94,408.82,411,407.15,3.39M,0.24%
13-Aug-21,409.96,409.64,409.96,409.18,2.25M,0.20%
12-Aug-21,409.15,407.85,409.33,406.98,2.32M,0.29%
11-Aug-21,407.96,408.01,408.07,406.91,3.55M,0.24%
10-Aug-21,406.98,406.93,407.67,406.28,2.40M,0.13%
9-Aug-21,406.47,406.86,407.03,405.72,1.98M,-0.10%
8-Aug-21,406.86,406.86,406.86,406.86,-,0.00%
7-Aug-21,406.86,406.86,406.86,406.86,-,0.00%
6-Aug-21,406.86,406.49,407.16,406.17,2.49M,0.17%
5-Aug-21,406.16,404.72,406.16,404.41,3.05M,0.62%
4-Aug-21,403.64,404.26,404.86,403.36,3.88M,-0.48%
3-Aug-21,405.58,403.13,405.58,400.92,4.13M,0.81%
2-Aug-21,402.33,404.82,405.29,402.03,5.81M,-0.20%
30-Jul-21,403.15,402.61,404.5,402.47,5.20M,-0.49%
29-Jul-21,405.13,404.35,406.13,404.35,2.27M,0.43%
28-Jul-21,403.39,404.18,404.74,402.05,3.76M,-0.05%
27-Jul-21,403.61,404.28,404.28,400.83,3.63M,-0.44%
26-Jul-21,405.41,403.84,405.41,403.84,2.37M,0.25%
23-Jul-21,404.38,402.17,404.75,401.58,3.15M,1.00%
22-Jul-21,400.38,399.71,400.56,398.7,2.58M,0.21%
21-Jul-21,399.53,397.48,399.62,397.27,3.00M,0.84%
20-Jul-21,396.2,391.35,397.5,390.01,4.04M,1.41%
19-Jul-21,390.68,391.78,392.26,387.93,12.34M,-1.50%
16-Jul-21,396.61,400.8,400.84,396.15,4.52M,-0.78%
15-Jul-21,399.72,399.86,400.37,397.82,4.48M,-0.32%
14-Jul-21,401.01,402.15,402.56,399.82,3.33M,0.14%
13-Jul-21,400.46,401.07,402.47,400.2,4.31M,-0.34%
12-Jul-21,401.82,400.31,401.97,399.88,2.93M,0.36%
9-Jul-21,400.37,397.63,400.57,397.43,3.33M,1.06%
8-Jul-21,396.19,393.98,396.87,393.07,5.82M,-0.80%
7-Jul-21,399.37,398.67,399.66,396.71,4.75M,0.34%
6-Jul-21,398,398.75,398.93,395.3,4.33M,-0.19%
5-Jul-21,398.75,398.75,398.75,398.75,-,0.00%
4-Jul-21,398.75,398.75,398.75,398.75,-,0.00%
3-Jul-21,398.75,398.75,398.75,398.75,-,0.00%
2-Jul-21,398.75,396.85,399.05,396.52,4.36M,0.76%
1-Jul-21,395.74,394.26,395.78,394.21,3.41M,0.56%
30-Jun-21,393.52,392.73,394.12,392.73,3.80M,0.09%
29-Jun-21,393.16,393.35,393.94,392.66,2.93M,-0.29%
28-Jun-21,394.32,394.03,394.44,392.83,2.42M,0.21%
25-Jun-21,393.5,392.97,393.91,392.57,2.86M,0.37%
24-Jun-21,392.05,391.97,392.51,391.68,2.99M,0.57%
23-Jun-21,389.82,390.37,391.14,389.75,2.40M,-0.11%
22-Jun-21,390.24,388.21,391.06,387.58,2.71M,0.53%
21-Jun-21,388.18,384.5,388.38,383.65,4.39M,1.40%
18-Jun-21,382.82,384.91,385.38,382.55,5.21M,-1.33%
17-Jun-21,387.97,387.62,388.91,385.5,4.07M,-0.04%
16-Jun-21,388.11,390.42,390.58,386.02,4.19M,-0.55%
15-Jun-21,390.25,391.15,391.2,389.41,2.41M,-0.21%
14-Jun-21,391.07,390.21,391.07,389,2.25M,0.25%
11-Jun-21,390.09,390,390.2,388.73,2.24M,0.17%
10-Jun-21,389.41,388.86,390.36,387.58,2.61M,0.46%
9-Jun-21,387.62,389.08,389.13,387.41,2.97M,-0.16%
8-Jun-21,388.23,389,389.08,386.44,2.39M,0.02%
7-Jun-21,388.17,388.52,388.69,387.25,2.50M,-0.08%
4-Jun-21,388.5,386.81,388.8,386.76,2.63M,0.91%
3-Jun-21,385.01,384.17,386.11,382.7,3.39M,-0.38%
2-Jun-21,386.48,386.45,387.24,385.47,3.21M,0.17%
1-Jun-21,385.83,388.5,388.62,385.38,4.39M,-0.08%
28-May-21,386.13,387.03,387.27,385.94,3.37M,0.19%
27-May-21,385.38,386.28,386.78,385.32,3.02M,0.04%
26-May-21,385.21,385.09,385.75,384.07,2.64M,0.18%
25-May-21,384.51,386.4,386.76,383.94,4.03M,-0.21%
24-May-21,385.32,383.69,386.4,383.44,2.96M,1.01%
21-May-21,381.47,383.23,384.45,381.01,3.57M,-0.08%
20-May-21,381.76,378.57,382.99,378.45,4.78M,1.07%
19-May-21,377.73,374.06,377.84,372.62,5.09M,-0.26%
18-May-21,378.73,382.25,382.47,378.54,3.13M,-0.86%
17-May-21,382.03,381.9,382.75,380,3.78M,-0.24%
14-May-21,382.95,379.81,383.79,379.81,5.17M,1.54%
13-May-21,377.16,374.21,379.05,374.17,7.19M,1.19%
12-May-21,372.73,378.04,379.27,372.13,7.71M,-2.13%
11-May-21,380.86,379.75,381.74,376.95,7.08M,-0.88%
10-May-21,384.23,388.41,388.66,384.09,5.94M,-0.98%
7-May-21,388.03,386.02,388.68,385.33,3.52M,0.71%
6-May-21,385.28,382.26,385.37,380.27,4.74M,0.81%
5-May-21,382.17,383.72,383.91,381.44,4.41M,0.02%
4-May-21,382.1,382.52,382.96,378.45,5.49M,-0.61%
3-May-21,384.44,385.56,385.94,383.96,4.18M,0.23%
30-Apr-21,383.57,383.91,384.76,382.73,5.22M,-0.66%
29-Apr-21,386.12,386.4,386.74,382.81,4.21M,0.67%
28-Apr-21,383.56,384.1,385.17,383.24,3.96M,-0.05%
27-Apr-21,383.74,384.2,384.38,382.72,3.37M,-0.03%
26-Apr-21,383.86,383.73,384.45,383.32,3.13M,0.22%
23-Apr-21,383.03,379.57,384.45,379.46,3.78M,1.07%
22-Apr-21,378.99,382.32,383.12,377.96,3.97M,-0.92%
21-Apr-21,382.5,378.28,382.67,378.14,3.64M,0.94%
20-Apr-21,378.94,380.49,381.16,377.46,4.11M,-0.73%
19-Apr-21,381.74,382.62,383.09,380.37,3.95M,-0.49%
16-Apr-21,383.63,383.56,384.15,382.19,3.25M,0.35%
15-Apr-21,382.29,380.33,382.54,380.28,3.57M,1.07%
14-Apr-21,378.23,379.46,380.51,377.7,3.69M,-0.32%
13-Apr-21,379.45,378.37,380.12,377.92,2.99M,0.27%
12-Apr-21,378.42,377.7,378.65,377.08,2.75M,0.04%
9-Apr-21,378.25,375.42,378.4,375.33,2.63M,0.72%
8-Apr-21,375.55,374.97,375.56,374.06,3.95M,0.49%
7-Apr-21,373.73,373.14,374.08,372.72,2.77M,0.13%
6-Apr-21,373.26,373.04,374.33,372.67,3.58M,-0.06%
5-Apr-21,373.47,370.89,374.07,370.81,3.76M,1.44%
1-Apr-21,368.16,366.2,368.29,366.03,5.13M,1.06%
31-Mar-21,364.3,363.39,365.82,363.39,7.47M,0.40%
30-Mar-21,362.86,362.56,363.47,361.27,3.70M,-0.26%
29-Mar-21,363.79,362.57,364.68,361.11,3.14M,-0.06%
26-Mar-21,364.01,359.37,364.37,358.75,3.32M,1.27%
25-Mar-21,359.43,356.08,360.24,354.14,5.49M,0.56%
24-Mar-21,357.42,360.71,362.27,357.42,4.10M,-0.55%
23-Mar-21,359.41,361.53,362.94,358.51,4.95M,-0.73%
22-Mar-21,362.07,359.79,363.5,359.76,3.42M,0.79%
19-Mar-21,359.23,359.65,361.17,357.14,5.38M,-0.18%
18-Mar-21,359.87,362.73,364.76,359.28,5.07M,-1.47%
17-Mar-21,365.24,362.83,366.05,361.62,5.01M,0.33%
16-Mar-21,364.05,365.12,365.78,363.25,3.70M,-0.11%
15-Mar-21,364.46,362.67,364.75,360.45,3.16M,0.58%
12-Mar-21,362.36,360.5,362.45,359.67,4.85M,0.14%
11-Mar-21,361.85,360.66,363.76,360.16,3.34M,1.06%
10-Mar-21,358.07,358.3,359.84,356.88,7.23M,0.62%
9-Mar-21,355.87,354.75,358.46,354.23,6.08M,1.40%
8-Mar-21,350.96,353.63,356.4,350.66,5.66M,-0.49%
5-Mar-21,352.69,349.77,353.73,342.59,8.72M,1.83%
4-Mar-21,346.34,350.49,353.02,341.92,6.60M,-1.23%
3-Mar-21,350.66,354.7,355.64,350.56,6.32M,-1.32%
2-Mar-21,355.35,358.38,358.63,355.16,5.46M,-0.77%
1-Mar-21,358.12,354.55,359.39,354.5,3.73M,2.44%
26-Feb-21,349.59,353.47,354.47,347.71,7.58M,-0.55%
25-Feb-21,351.52,359.03,360.27,350.08,7.05M,-2.40%
24-Feb-21,360.16,355.15,360.58,354.2,3.30M,1.11%
23-Feb-21,356.22,353.69,357.56,349.53,5.25M,0.13%
22-Feb-21,355.77,355.84,358.19,355.56,3.29M,-0.79%
19-Feb-21,358.59,360.47,360.71,358.14,2.49M,-0.18%
18-Feb-21,359.25,358.24,359.93,356.49,3.02M,-0.43%
17-Feb-21,360.79,359.03,360.97,357.92,3.22M,0.02%
16-Feb-21,360.71,362.15,362.37,359.98,4.41M,-0.09%
12-Feb-21,361.05,358.45,361.19,358.36,2.14M,0.51%
11-Feb-21,359.22,359.71,360.1,356.84,2.24M,0.16%
10-Feb-21,358.64,360.53,360.61,356.3,2.40M,-0.04%
9-Feb-21,358.78,358.22,359.33,357.77,1.89M,-0.08%
8-Feb-21,359.07,357.92,359.07,357.06,3.37M,0.74%
5-Feb-21,356.44,356.9,357.13,355.32,2.09M,0.40%
4-Feb-21,355.02,352.12,355.04,351.92,1.99M,1.12%
3-Feb-21,351.09,351.7,352.8,349.88,3.39M,0.10%
2-Feb-21,350.74,349.05,352.34,349,2.96M,1.44%
1-Feb-21,345.77,343.63,346.85,341.4,3.33M,1.64%
29-Jan-21,340.18,345.31,346.22,338.57,5.80M,-2.00%
28-Jan-21,347.13,345.97,351.07,345.58,3.43M,0.84%
27-Jan-21,344.24,349.54,349.56,341.99,5.01M,-2.43%
26-Jan-21,352.8,354.23,354.64,352.6,2.43M,-0.15%
25-Jan-21,353.33,352.71,353.68,347.97,3.55M,0.41%
22-Jan-21,351.9,351.38,353.04,350.99,1.81M,-0.36%
21-Jan-21,353.16,353.46,353.83,352.3,2.58M,0.09%
20-Jan-21,352.83,350.32,353.71,349.97,2.92M,1.36%
19-Jan-21,348.1,347.8,348.59,346.36,3.43M,0.79%
15-Jan-21,345.37,346.27,347.06,343.53,3.62M,-0.71%
14-Jan-21,347.85,349.85,350.32,347.55,3.50M,-0.34%
13-Jan-21,349.03,348.11,350.06,347.32,3.04M,0.25%
12-Jan-21,348.16,348.3,349.15,345.97,2.30M,0.01%
11-Jan-21,348.13,347.36,349.82,347.2,2.99M,-0.65%
8-Jan-21,350.42,349.88,350.62,346.64,3.76M,0.56%
7-Jan-21,348.46,345.74,349.2,345.54,3.64M,1.49%
6-Jan-21,343.33,339.79,346.5,339.3,4.80M,0.61%
5-Jan-21,341.26,338.4,342.39,338.39,3.30M,0.66%
4-Jan-21,339.03,345.02,345.09,335.37,5.40M,-1.36%
31-Dec-20,343.69,341.82,344.37,341.23,3.51M,0.54%
30-Dec-20,341.85,342.28,342.91,341.56,2.01M,0.13%
29-Dec-20,341.39,343.63,343.77,340.87,2.56M,-0.21%
28-Dec-20,342.11,341.74,342.46,341.09,2.80M,0.87%
24-Dec-20,339.16,338.37,339.18,337.77,1.45M,0.40%
23-Dec-20,337.81,338.54,339.75,337.69,3.68M,0.08%
22-Dec-20,337.54,338.47,338.55,336.47,2.38M,-0.60%
21-Dec-20,339.59,336.83,340.38,334.11,3.92M,-0.31%
18-Dec-20,340.64,342.39,342.5,338.7,6.03M,-0.40%
17-Dec-20,342.01,341.77,342.25,340.96,2.63M,0.54%
16-Dec-20,340.16,339.83,341.04,338.96,2.94M,0.15%
15-Dec-20,339.64,337.64,339.64,336.24,2.76M,1.38%
14-Dec-20,335.01,338.76,339.79,334.89,2.65M,-0.46%
11-Dec-20,336.55,335.31,336.8,333.77,2.39M,-0.13%
10-Dec-20,336.98,335.74,338,334.84,2.74M,-0.05%
9-Dec-20,337.14,340.79,340.93,336.26,2.55M,-0.89%
8-Dec-20,340.16,337.89,340.7,337.85,1.95M,0.29%
7-Dec-20,339.18,339.07,339.63,337.91,1.94M,-0.19%
4-Dec-20,339.81,337.5,339.84,337.45,2.91M,0.86%
3-Dec-20,336.91,336.91,338.3,335.88,2.85M,-0.03%
2-Dec-20,337.01,335.22,337.11,334.65,2.27M,0.21%
1-Dec-20,336.3,335.92,337.8,335.32,3.24M,1.10%
30-Nov-20,332.64,333.4,333.63,330.04,4.18M,-0.45%
27-Nov-20,334.14,334.29,334.61,333.18,984.71K,0.29%
25-Nov-20,333.19,333.67,333.67,332.15,2.26M,-0.16%
24-Nov-20,333.74,331.02,334.25,330.1,2.66M,1.62%
23-Nov-20,328.42,328.28,329.6,326.06,2.22M,0.59%
20-Nov-20,326.49,328.41,328.66,326.4,3.52M,-0.67%
19-Nov-20,328.69,326.76,329.09,325.41,2.96M,0.42%
18-Nov-20,327.32,331.63,332.14,327.29,2.65M,-1.21%
17-Nov-20,331.34,330.73,332.5,329.25,3.05M,-0.50%
16-Nov-20,333,331.65,333.12,330.4,3.02M,1.21%
13-Nov-20,329.01,326.45,329.73,325.89,2.00M,1.36%
12-Nov-20,324.6,326.74,327.44,322.73,2.54M,-0.92%
11-Nov-20,327.63,327.42,328.5,326.17,2.77M,0.70%
10-Nov-20,325.34,324.77,326.3,322.06,4.12M,-0.13%
9-Nov-20,325.76,334.36,335.2,325.28,8.10M,1.25%
6-Nov-20,321.75,321.44,322.92,319.43,3.64M,-0.01%
5-Nov-20,321.79,320.94,323.55,320.52,3.95M,1.96%
4-Nov-20,315.61,313.19,319.65,312,5.75M,2.25%
3-Nov-20,308.66,306.57,310.74,306.09,3.38M,1.76%
2-Nov-20,303.31,303.37,305.31,300.63,4.08M,1.16%
30-Oct-20,299.82,301.56,302.86,296.37,5.89M,-1.12%
29-Oct-20,303.23,300.32,306.25,298.69,5.37M,1.05%
28-Oct-20,300.07,305.13,305.74,299.62,5.65M,-3.44%
27-Oct-20,310.77,312.18,312.47,310.56,2.20M,-0.33%
26-Oct-20,311.8,314.31,315.08,308.36,3.34M,-1.84%
23-Oct-20,317.65,317.84,317.84,315.24,1.43M,0.34%
22-Oct-20,316.57,315.06,317.16,312.99,2.36M,0.55%
21-Oct-20,314.84,315.41,317.52,314.59,2.61M,-0.18%
20-Oct-20,315.41,315.48,318.67,314.78,3.07M,0.39%
19-Oct-20,314.17,320.3,320.89,313.33,2.23M,-1.51%
16-Oct-20,318.99,320.65,322.21,318.9,1.67M,-0.08%
15-Oct-20,319.26,315.71,319.7,315.23,2.49M,-0.12%
14-Oct-20,319.64,322.22,323.3,318.93,1.91M,-0.62%
13-Oct-20,321.65,323.64,323.73,320.71,2.23M,-0.64%
12-Oct-20,323.72,321.14,325.22,320.66,2.19M,1.61%
