Date,Price,Open,High,Low,Change %
31-Dec-21,1.512,1.512,1.526,1.491,0.35%
30-Dec-21,1.507,1.551,1.553,1.501,-3.21%
29-Dec-21,1.556,1.477,1.56,1.47,4.87%
28-Dec-21,1.484,1.479,1.491,1.455,0.47%
27-Dec-21,1.477,1.486,1.498,1.476,-0.57%
26-Dec-21,1.486,1.489,1.489,1.486,-0.46%
23-Dec-21,1.493,1.457,1.501,1.452,2.71%
22-Dec-21,1.453,1.45,1.486,1.448,-0.93%
21-Dec-21,1.467,1.421,1.498,1.414,2.75%
20-Dec-21,1.428,1.375,1.429,1.353,3.70%
19-Dec-21,1.377,1.38,1.38,1.375,-2.17%
17-Dec-21,1.407,1.424,1.434,1.372,-1.19%
16-Dec-21,1.424,1.462,1.482,1.412,-2.34%
15-Dec-21,1.458,1.443,1.484,1.424,1.19%
14-Dec-21,1.441,1.426,1.472,1.419,1.92%
13-Dec-21,1.414,1.494,1.508,1.412,-5.25%
12-Dec-21,1.492,1.482,1.492,1.482,0.70%
10-Dec-21,1.482,1.501,1.52,1.451,-1.02%
9-Dec-21,1.497,1.521,1.535,1.472,-2.02%
8-Dec-21,1.528,1.472,1.537,1.427,3.12%
7-Dec-21,1.482,1.429,1.487,1.427,3.45%
6-Dec-21,1.433,1.378,1.443,1.37,3.80%
5-Dec-21,1.38,1.378,1.38,1.378,1.74%
3-Dec-21,1.356,1.431,1.472,1.335,-6.09%
2-Dec-21,1.444,1.421,1.466,1.409,2.89%
1-Dec-21,1.404,1.477,1.506,1.402,-3.61%
30-Nov-21,1.456,1.511,1.524,1.412,-3.06%
29-Nov-21,1.502,1.531,1.565,1.497,-1.89%
28-Nov-21,1.531,1.541,1.541,1.531,3.34%
26-Nov-21,1.482,1.598,1.601,1.473,-7.18%
25-Nov-21,1.596,1.601,1.603,1.596,-2.83%
24-Nov-21,1.643,1.665,1.693,1.627,-1.96%
23-Nov-21,1.676,1.624,1.684,1.615,2.65%
